"Descrição","Local"
"Um homem agride fisicamente outro homem em uma briga de bar","Parque Piauí"
"Um grupo de adolescentes ataca verbalmente e fisicamente um colega na saída da escola","Parque Piauí"
"Um morador de um bairro é ameaçado de ter sua casa incendiada se não pagar uma taxa de proteção para uma gangue local","Tabuleta"
"Um jornalista recebe uma mensagem de e-mail exigindo pagamento em troca de não divulgar informações comprometedoras","Parque Piauí"
"Um empresário recebe ameaças de sabotagem se não pagar uma quantia em dinheiro para um concorrente desonesto","Buenos Aires"
"Um estudante universitário é ameaçado de ter suas notas alteradas se não pagar um hacker para invadir o sistema da universidade","São João"
"Um homem mata uma mulher por ela se negar a aceitar a poligamia em seu relacionamento","Piçarra"
"Um parceiro mata sua parceira por ela querer ter autonomia sobre o próprio corpo e decisões reprodutivas","Tabuleta"
"Um homem mata uma mulher por ela expressar desejo de igualdade de direitos e oportunidades","Saci"
"Um ex-namorado mata sua ex-namorada por ela querer se mudar para longe dele","Santa Maria da Codipi"
"Um pai mata sua filha por ela se recusar a desistir de uma carreira profissional para se dedicar à família","Tabuleta"
"Um homem mata uma mulher por ela se negar a aceitar a violência física,"Buenos Aires"
"Um parceiro mata sua parceira por ela querer deixar um relacionamento abusivo e iniciar uma nova vida","Saci"
"Um estranho arrasta uma mulher para um beco escuro e a estupra","Santa Maria da Codipi"
"Um colega de trabalho droga uma mulher em uma festa da empresa e a estupra","Tabuleta"
"Um parceiro íntimo força relações sexuais não consensuais com sua parceira","Piçarra"
"Um motorista de aplicativo leva uma passageira para um local isolado e a estupra","Centro"
"Um grupo de homens ataca uma mulher que está voltando para casa sozinha à noite","Santa Maria da Codipi"
"Um familiar abusa sexualmente de uma criança enquanto está cuidando dela","Tabuleta"
"Um homem oferece carona a uma pessoa e a estupra durante o trajeto","Centro"
"Um gerente de empresa abusa sexualmente de um funcionário em troca de promoções","Parque Piauí"
"Um cliente de um salão de beleza força uma esteticista a ter relações sexuais no local de trabalho","Centro"
"Um mentor profissional abusa sexualmente de um estagiário em troca de oportunidades de trabalho","São João"
"Um segurança de boate abusa sexualmente de uma cliente em um local lotado","Mocambinho"
"Um grupo de pessoas depreda equipamentos de uma praça de recreação infantil","São João"
"Um vândalo joga pedras nas vitrines de lojas durante uma noite de protestos","Mocambinho"
"Um indivíduo desfigura uma estátua pública com tinta spray","Santa Maria da Codipi"
"Um grupo de adolescentes destrói os bancos de uma parada de ônibus","Santa Maria da Codipi"
"Um manifestante picha muros de residências em uma rua comercial","Jóquei"
"Um indivíduo quebra as luzes de um campo de futebol durante a madrugada","Jóquei"
"Um indivíduo quebra os relógios de rua em uma área comercial","Tabuleta"
"Um grupo de jovens incendeia um contêiner de lixo em uma rua residencial","São João"
"Um manifestante picha mensagens de protesto em prédios do centro da cidade","Parque Piauí"
"Um indivíduo quebra as janelas de um ônibus durante uma manifestação","Buenos Aires"
"Um homem mata uma mulher por ela querer ter filhos contra a vontade dele","Saci"
"Um ex-namorado mata sua ex-namorada por ela se negar a reatar o relacionamento","Buenos Aires"
"Um pai mata sua filha por ela se recusar a seguir tradições religiosas ou culturais","Jóquei"
"Um homem mata uma mulher por ela se negar a obedecer às suas ordens ou caprichos","Santa Maria da Codipi"
"Um parceiro mata sua parceira por ela querer tomar suas próprias decisões de vida","Jóquei"
"Um homem mata uma mulher por ela se recusar a se submeter à violência doméstica","Mocambinho"
